"Gene","GSM7994873","GSM7994882"
"1700024I08Rik",0,0
"1700024N05Rik",0,0
"1700024P04Rik",0,0
"1700024P16Rik",25,4
"1700025B11Rik",0,0
"1700025C18Rik",0,0
"1700025F22Rik",0,0
"1700025F24Rik",0,0
"1700025G04Rik",1012,966
"1700025J12Rik",0,1
"1700025K24Rik",0,0
"1700025M24Rik",0,0
"1700025N23Rik",0,0
"1700026D08Rik",17,4
"1700026D11Rik",0,0
"1700026F02Rik",0,0
"1700026J14Rik",1,4
"1700026L06Rik",3,0
"1700027A15Rik",1,0
"1700027F06Rik",0,0
"1700027F09Rik",0,0
"1700027H10Rik",0,0
"1700027I24Rik",0,0
"1700027J07Rik",0,0
"1700028B04Rik",5,10
"1700028D13Rik",0,0
"1700028E10Rik",0,2
"1700028I16Rik",0,0
"1700028J19Rik",3,0
"1700028K03Rik",76,39
"1700028M03Rik",0,0
"1700028P14Rik",15,9
"1700028P15Rik",0,0
"1700029B22Rik",0,0
"1700029F12Rik",0,0
"1700029H14Rik",0,0
"1700029I15Rik",9,13
"1700029J03Rik",0,0
"1700029J07Rik",48,55
"1700029M20Rik",0,0
"1700029N11Rik",0,0
"1700029P11Rik",1,0
"1700030A11Rik",0,0
"1700030C10Rik",30,21
"1700030F04Rik",0,1
"1700030F18Rik",2,0
"1700030J22Rik",50,80
"1700030K09Rik",287,256
"1700030L20Rik",0,0
"1700030M09Rik",0,0
"1700030N03Rik",0,0
"1700030O20Rik",0,0
"1700031A10Rik",0,0
"1700031F05Rik",0,0
"1700031M16Rik",0,0
"1700031P21Rik",0,0
"1700034E13Rik",0,0
"1700034G24Rik",45,32
"1700034H15Rik",10,11
"1700034I23Rik",4,9
"1700034J05Rik",1,0
"1700034K08Rik",0,0
"1700034O15Rik",0,0
"1700034P13Rik",36,46
"1700036G14Rik",0,0
"1700037C18Rik",13,28
"1700037H04Rik",243,263
"1700039E15Rik",0,0
"1700039E22Rik",0,0
"1700040L02Rik",9,9
"1700041A01Rik",0,1
"1700041C23Rik",0,0
"1700041M19Rik",0,1
"1700042G07Rik",0,0
"1700042G15Rik",0,0
"1700042O10Rik",0,1
"1700044C05Rik",0,0
"1700044K03Rik",0,0
"1700045H11Rik",0,0
"1700046C09Rik",0,0
"1700047A11Rik",64,64
"1700047E10Rik",1,1
"1700047G03Rik",0,0
"1700047I17Rik2",457,478
"1700047L14Rik",0,0
"1700047M11Rik",48,38
"1700048M11Rik",0,0
"1700048O20Rik",23,30
"1700049E15Rik",0,0
"1700049E22Rik",0,0
"1700049G17Rik",29,23
"1700049L16Rik",0,0
"1700051A21Rik",0,0
"1700052I22Rik",0,0
"1700052K11Rik",56,42
"1700054A03Rik",0,0
"1700054K19Rik",0,0
"1700054M17Rik",0,0
"1700055C04Rik",0,0
"1700056E22Rik",2,0
"1700057G04Rik",0,0
"1700057H15Rik",1,0
"1700057H21Rik",0,0
"1700060C16Rik",0,0
"1700060C20Rik",0,0
"1700061F12Rik",0,0
"1700061G19Rik",0,1
"1700061I17Rik",0,0
"1700061J23Rik",0,0
"1700063A18Rik",0,0
"1700063D05Rik",0,0
"1700063O14Rik",0,0
"1700064J06Rik",0,0
"1700064M15Rik",0,1
"1700065D16Rik",1,0
"1700065I16Rik",0,0
"1700065J11Rik",0,0
"1700065J18Rik",4,2
"1700065L07Rik",1,0
"1700065O20Rik",0,0
"1700066B17Rik",0,0
"1700066B19Rik",1,0
"1700066J03Rik",0,0
"1700066M21Rik",91,65
"1700066N21Rik",0,0
"1700066O22Rik",0,0
"1700067G17Rik",2,0
"1700067K01Rik",2,2
"1700067P10Rik",0,0
"1700069L16Rik",0,0
"1700069P05Rik",0,0
"1700071K01Rik",12,33
"1700071M16Rik",1,3
"1700072B07Rik",0,0
"1700072I22Rik",0,0
"1700072O05Rik",0,0
"1700073E17Rik",2,0
"1700074H08Rik",1,5
"1700074P13Rik",0,0
"1700080E11Rik",0,0
"1700080N15Rik",0,0
"1700080O16Rik",0,0
"1700081H04Rik",2,0
"1700084C01Rik",74,33
"1700084D21Rik",0,0
"1700084E18Rik",2,3
"1700084F23Rik",0,0
"1700084J12Rik",3,1
"1700084M14Rik",0,0
"1700085C21Rik",1,1
"1700086L19Rik",53,97
"1700086O06Rik",98,57
"1700088E04Rik",25,20
"1700091H14Rik",0,0
"1700092C02Rik",0,0
"1700092C10Rik",0,0
"1700092E19Rik",0,0
"1700092K14Rik",0,2
"1700092M07Rik",0,0
"1700093K21Rik",0,2
"1700094D03Rik",101,80
"1700094J05Rik",183,188
"1700094M24Rik",0,0
"1700095A21Rik",0,0
"1700095B10Rik",0,0
"1700095J12Rik",5,11
"1700096J18Rik",0,0
"1700096K18Rik",39,23
"1700096P03Rik",0,0
"1700097N02Rik",0,0
"1700099I09Rik",28,37
"1700100I10Rik",0,0
"1700100L14Rik",0,0
"1700101E01Rik",0,0
"1700101I11Rik",26,39
"1700101O22Rik",0,0
"1700102H20Rik",5,2
"1700102P08Rik",5,7
"1700104L18Rik",0,0
"1700105P06Rik",2,4
"1700106J16Rik",0,0
"1700108F19Rik",0,0
"1700108J01Rik",0,0
"1700109G14Rik",0,0
"1700109G15Rik",0,0
"1700109H08Rik",46,34
"1700109I08Rik",0,0
"1700109K24Rik",1,4
"1700110C19Rik",0,0
"1700110I01Rik",0,0
"1700110I07Rik",0,0
"1700110K17Rik",14,9
"1700111N16Rik",0,0
"1700112E06Rik",0,1
"1700112H15Rik",0,0
"1700112J05Rik",0,0
"1700112J16Rik",3,17
"1700113A16Rik",1006,1173
"1700113B09Rik",1,1
"1700113H08Rik",0,0
"1700116B05Rik",0,0
"1700119H24Rik",0,0
"1700120C14Rik",2,10
"1700120E14Rik",12,5
"1700120G07Rik",0,3
"1700120K04Rik",0,0
"1700121L16Rik",0,0
"1700121N20Rik",0,0
"1700122C19Rik",0,0
"1700122O11Rik",0,0
"1700123I01Rik",0,3
"1700123J17Rik",0,0
"1700123K08Rik",0,0
"1700123L14Rik",4,3
"1700123M08Rik",1,5
"1700123O12Rik",0,0
"1700123O20Rik",110,70
"1700123O21Rik",3,3
"1700124L16Rik",65,57
"1700125G02Rik",0,0
"1700125G22Rik",0,0
"1700125H03Rik",0,2
"1700125H20Rik",1,1
"1700126H18Rik",0,0
"1700128A07Rik",0,0
"1700128F08Rik",0,0
"1700129C05Rik",0,0
"1810006J02Rik",0,0
"1810007C17Rik",0,0
"1810007D17Rik",2,0
"1810008I18Rik",0,0
"1810009A15Rik",0,0
"1810009J06Rik",0,0
"1810010D01Rik",6,1
"1810010H24Rik",21,22
"1810011H11Rik",0,5
"1810011O10Rik",14,11
"1810012K16Rik",0,0
"1810013A23Rik",0,0
"1810013L24Rik",262,261
"1810014B01Rik",32,29
"1810018F18Rik",0,0
"1810019D21Rik",0,0
"1810020O05Rik",9,17
"1810021B22Rik",14,31
"1810022K09Rik",323,356
"1810024B03Rik",0,1
"1810026B05Rik",128,131
"1810026J23Rik",231,191
"1810030O07Rik",264,221
"1810032O08Rik",18,14
"1810034E14Rik",0,0
"1810037I17Rik",356,432
"1810041H14Rik",1,0
"1810041L15Rik",403,263
"1810043G02Rik",251,159
"1810043H04Rik",389,409
"1810044D09Rik",6,8
"1810046K07Rik",0,0
"1810053B23Rik",0,0
"1810055G02Rik",40,59
"1810058I24Rik",157,138
"1810062G17Rik",0,0
"1810062O18Rik",10,10
"1810063I02Rik",0,0
"1810064F22Rik",0,0
"1810065E05Rik",0,0
"2010001A14Rik",61,29
"2010001E11Rik",0,0
"2010003K11Rik",0,0
"2010005H15Rik",2,0
"2010009K17Rik",3,8
"2010010A06Rik",0,0
"2010012O05Rik",291,281
"2010016I18Rik",0,0
"2010106C02Rik",0,0
"2010106E10Rik",2,0
"2010107E04Rik",1339,1084
"2010107G12Rik",5,5
"2010107G23Rik",113,120
"2010109A12Rik",0,1
"2010109I03Rik",3,0
"2010111I01Rik",99,109
"2010204K13Rik",697,356
"2010300C02Rik",1060,640
"2010308F09Rik",0,1
"2010310C07Rik",0,0
"2010315B03Rik",74,55
"2010320M18Rik",94,86
"2200002D01Rik",121,116
"2200002J24Rik",0,0
"2210010C04Rik",0,0
"2210011C24Rik",7,2
"2210013O21Rik",178,147
"2210015D19Rik",43,49
"2210016F16Rik",59,41
"2210016L21Rik",930,896
"2210018M11Rik",439,461
"2210019I11Rik",0,0
"2210039B01Rik",2,1
"2210404E10Rik",0,0
"2210404O09Rik",20,8
"2210406O10Rik",29,22
"2210407C18Rik",0,0
"2210408F21Rik",198,269
"2210408I21Rik",54,67
"2210409D07Rik",0,0
"2210409E12Rik",0,0
"2210414B05Rik",0,0
"2210416O15Rik",3,2
"2210417A02Rik",0,0
"2210420H20Rik",0,0
"2300002M23Rik",0,0
"2300003K06Rik",0,0
"2300005B03Rik",0,0
"2300009A05Rik",221,242
"2310001H17Rik",6,3
"2310001K24Rik",0,0
"2310002D06Rik",21,18
"2310002F09Rik",91,1
"2310002L09Rik",0,0
"2310003N18Rik",0,0
"2310005A03Rik",0,0
"2310005E17Rik",0,0
"2310007B03Rik",0,0
"2310008N11Rik",0,0
"2310009A05Rik",101,90
"2310009B15Rik",114,70
"2310010G23Rik",1,2
"2310010J17Rik",54,87
"2310011J03Rik",262,225
"2310015A10Rik",34,53
"2310015D24Rik",0,1
"2310016D03Rik",0,0
"2310020H05Rik",0,0
"2310022A10Rik",99,84
"2310022B05Rik",433,362
"2310030A07Rik",0,0
"2310030G06Rik",8,5
"2310033P09Rik",283,171
"2310034C09Rik",0,0
"2310034G01Rik",21,6
"2310034O05Rik",4,4
"2310035C23Rik",276,194
"2310036O22Rik",690,712
"2310039H08Rik",46,23
"2310039L15Rik",0,0
"2310040G24Rik",6,12
"2310043L19Rik",0,0
"2310043O21Rik",0,0
"2310045N01Rik",27,12
"2310045n01rik-mef2b",3,0
"2310047M10Rik",380,315
"2310050C09Rik",0,0
"2310057J18Rik",0,0
"2310057M21Rik",143,103
"2310057N15Rik",0,0
"2310061I04Rik",465,548
"2310061N02Rik",0,0
"2310065F04Rik",0,1
"2310067B10Rik",153,134
"2310068J16Rik",3,1
"2310069B03Rik",1,0
"2310069G16Rik",17,11
"2310075C17Rik",0,4
"2310079G19Rik",0,0
"2310081J21Rik",0,0
"2400006E01Rik",0,0
"2410002F23Rik",169,166
"2410003L11Rik",0,0
"2410004B18Rik",123,81
"2410004I01Rik",0,2
"2410004P03Rik",13,23
"2410006H16Rik",238,214
"2410012E07Rik",0,0
"2410015M20Rik",279,194
"2410016O06Rik",229,270
"2410017I17Rik",0,0
"2410018L13Rik",8,5
"2410021H03Rik",0,2
"2410089E03Rik",393,376
"2410124H12Rik",3,0
"2410127L17Rik",62,68
"2410131K14Rik",41,44
"2410137M14Rik",1,1
"2410141K09Rik",0,0
"2500002B13Rik",1,7
"2500004C02Rik",63,70
"2510002D24Rik",180,170
"2510003B16Rik",6,6
"2510009E07Rik",297,327
"2510039O18Rik",237,219
"2610001J05Rik",199,175
"2610002M06Rik",256,245
"2610005L07Rik",102,85
"2610008E11Rik",241,149
"2610015P09Rik",171,153
"2610016A17Rik",1,0
"2610020C07Rik",14,12
"2610020H08Rik",9,11
"2610027K06Rik",80,81
"2610028E06Rik",4,1
"2610028H24Rik",7,2
"2610035D17Rik",87,81
"2610035F20Rik",5,0
"2610037D02Rik",1,1
"2610042L04Rik",11,3
"2610044O15Rik8",52,28
"2610100L16Rik",81,112
"2610203C22Rik",8,14
"2610206C17Rik",0,0
"2610301B20Rik",382,281
"2610305D13Rik",3,9
"2610306M01Rik",41,37
"2610307P16Rik",0,2
"2610316D01Rik",14,15
"2610318N02Rik",5,2
"2610507B11Rik",1122,1018
"2610507I01Rik",236,171
"2610524H06Rik",90,80
"2610528A11Rik",5,2
"2610528J11Rik",0,1
"2700029M09Rik",393,375
"2700038G22Rik",12,14
"2700046A07Rik",0,0
"2700046G09Rik",33,17
"2700049A03Rik",75,62
"2700054A10Rik",23,21
"2700060E02Rik",541,412
"2700062C07Rik",89,58
"2700069I18Rik",6,0
"2700070H01Rik",4,6
"2700081O15Rik",1129,854
"2700089I24Rik",0,3
"2700094K13Rik",112,101
"2700097O09Rik",57,45
"2700099C18Rik",11,45
"2810001G20Rik",113,103
"2810002D19Rik",24,27
"2810004N23Rik",387,322
"2810006K23Rik",173,125
"2810013P06Rik",298,226
"2810021J22Rik",42,33
"2810025M15Rik",98,77
"2810029C07Rik",41,53
"2810032G03Rik",51,51
"2810047C21Rik1",0,0
"2810049E08Rik",47,35
"2810403A07Rik",541,551
"2810403D21Rik",3,10
"2810404M03Rik",0,1
"2810405F15Rik",7,17
"2810408A11Rik",0,3
"2810408I11Rik",4,11
"2810410L24Rik",19,13
"2810417H13Rik",30,31
"2810428I15Rik",202,187
"2810429I04Rik",1,1
"2810433D01Rik",45,45
"2810442N19Rik",6,5
"2810454H06Rik",27,29
"2810459M11Rik",75,58
"2810468N07Rik",254,239
"2810471M01Rik",0,0
"2810474O19Rik",419,385
"2900005J15Rik",37,16
"2900008C10Rik",30,38
"2900009J06Rik",18,16
"2900011O08Rik",1023,1114
"2900026A02Rik",428,362
"2900041M22Rik",20,3
"2900052N01Rik",245,165
"2900055J20Rik",208,319
"2900057B20Rik",0,0
"2900060B14Rik",1665,1869
"2900076A07Rik",58,40
"2900079G21Rik",80,70
"2900092C05Rik",0,0
"2900092D14Rik",272,275
"2900097C17Rik",3438,3261
"3000002C10Rik",18,6
"3010001F23Rik",5,6
"3010026O09Rik",56,70
"3100003L05Rik",0,1
"3110001I22Rik",25,7
"3110002H16Rik",147,131
"3110009E18Rik",17,12
"3110009F21Rik",1,0
"3110015C05Rik",0,0
"3110021A11Rik",17,20
"3110021N24Rik",56,46
"3110035E14Rik",2091,3912
"3110039I08Rik",367,371
"3110039M20Rik",161,161
"3110040N11Rik",44,22
"3110043O21Rik",178,134
"3110045C21Rik",14,10
"3110052M02Rik",72,45
"3110056K07Rik",17,22
"3110057O12Rik",27,31
"3110062M04Rik",108,100
"3110070M22Rik",9,10
"3110079O15Rik",2,3
"3110082I17Rik",100,102
"3110082J24Rik",17,10
"3110099E03Rik",0,6
"3200001D21Rik",3,5
"3300002I08Rik",0,3
"3300002P13Rik",500,128
"3300005D01Rik",0,0
"3425401B19Rik",2,1
"3632451O06Rik",188,118
"3632454L22Rik",24,17
"3830403N18Rik",0,0
"3830406C13Rik",167,173
"3830408C21Rik",10,2
"3830417A13Rik",0,0
"3830432H09Rik",0,0
"3930402G23Rik",1,3
"4430402I18Rik",29,27
"4631405J19Rik",0,0
"4632404H12Rik",58,46
"4632415L05Rik",265,248
"4632427E13Rik",0,0
"4632428C04Rik",1,0
"4632428N05Rik",94,107
"4732416N19Rik",0,0
"4732456N10Rik",2,0
"4732471J01Rik",37,49
"4732490B19Rik",0,0
"4732491K20Rik",32,26
"4831407H17Rik",2,1
"4831440E17Rik",120,76
"4833411C07Rik",8,3
"4833412C05Rik",4,8
"4833415N18Rik",0,13
"4833417C18Rik",5,2
"4833418N02Rik",2,4
"4833419F23Rik",0,3
"4833420G17Rik",264,300
"4833422C13Rik",209,173
"4833422M21Rik",0,0
"4833423E24Rik",0,0
"4833427F10Rik",0,0
"4833427G06Rik",0,0
"4833428L15Rik",0,0
"4833439L19Rik",488,407
"4921501E09Rik",1,2
"4921504A21Rik",60,30
"4921504E06Rik",1,0
"4921506M07Rik",0,0
"4921507L20Rik",2,3
"4921507P07Rik",9,11
"4921508D12Rik",0,0
"4921509C19Rik",0,0
"4921509O07Rik",0,5
"4921511C10Rik",0,0
"4921511C20Rik",0,0
"4921511H03Rik",8,6
"4921511I17Rik",39,22
"4921511M17Rik",0,0
"4921513I03Rik",0,0
"4921515E04Rik",0,1
"4921517D22Rik",0,0
"4921518K17Rik",0,0
"4921524J17Rik",162,119
"4921524L21Rik",0,0
"4921525O09Rik",0,0
"4921529L05Rik",0,0
"4921530L21Rik",5,0
"4921531C22Rik",37,27
"4921531P14Rik",0,0
"4921533I20Rik",5,0
"4921534H16Rik",2,0
"4921536K21Rik",1,1
"4921539E11Rik",0,1
"4922502D21Rik",0,0
"4922502H24Rik",0,0
"4922502N22Rik",0,0
"4930401C15Rik",0,0
"4930401O10Rik",0,0
"4930401O12Rik",0,0
"4930402F06Rik",0,0
"4930402F11Rik",0,0
"4930402H24Rik",325,319
"4930402K13Rik",0,0
"4930404A05Rik",0,0
"4930404H11Rik",0,0
"4930404I05Rik",0,0
"4930404N11Rik",3,3
"4930405A10Rik",0,0
"4930405A21Rik",4,3
"4930405D11Rik",0,0
"4930405J17Rik",1,0
"4930405L22Rik",0,0
"4930405O22Rik",0,0
"4930406D18Rik",0,0
"4930407G08Rik",0,0
"4930407I10Rik",0,0
"4930407I19Rik",0,0
"4930412B13Rik",0,0
"4930412C18Rik",6,11
"4930412O13Rik",0,0
"4930413E15Rik",0,0
"4930413F20Rik",0,2
"4930413G21Rik",8,9
"4930413M19Rik",0,0
"4930414N06Rik",0,1
"4930415F15Rik",4,1
"4930415L06Rik",0,1
"4930415O20Rik",1,1
"4930417O13Rik",0,0
"4930417O22Rik",0,0
"4930419G24Rik",15,15
"4930423M02Rik",0,0
"4930425K10Rik",0,0
"4930425L21Rik",0,0
"4930425O10Rik",0,0
"4930426D05Rik",0,4
"4930426L09Rik",0,0
"4930427A07Rik",6,7
"4930428D20Rik",0,0
"4930428E07Rik",9,5
"4930428G15Rik",0,0
"4930428O21Rik",0,0
"4930429B21Rik",35,41
"4930429D17Rik",0,0
"4930429F11Rik",0,0
"4930429F24Rik",3,4
"4930430A15Rik",0,0
"4930430F08Rik",200,157
"4930430F21Rik",0,0
"4930430J02Rik",0,0
"4930431F12Rik",0,0
"4930431P03Rik",1,0
"4930432J09Rik",0,0
"4930432K21Rik",16,13
"4930432M17Rik",0,0
"4930433B08Rik",0,0
"4930433I11Rik",0,0
"4930433N12Rik",0,0
"4930434J06Rik",0,0
"4930435E12Rik",0,0
"4930438E09Rik",0,0
"4930440C22Rik",0,0
"4930440I19Rik",0,0
"4930441H08Rik",0,0
"4930441J16Rik",0,0
"4930442J19Rik",0,0
"4930442L01Rik",0,0
"4930443O20Rik",0,0
"4930444F02Rik",7,5
"4930444G20Rik",0,0
"4930444M15Rik",0,1
"4930444P10Rik",33,15
"4930445N18Rik",0,0
"4930447A16Rik",8,11
"4930447C04Rik",50,107
"4930447F24Rik",3,1
"4930447J18Rik",0,0
"4930447K03Rik",2,3
"4930447M23Rik",33,41
"4930447N08Rik",5,8
"4930448C13Rik",0,0
"4930448F12Rik",0,0
"4930448H16Rik",0,0
"4930448I06Rik",0,0
"4930448I18Rik",0,0
"4930448K20Rik",0,0
"4930449E01Rik",0,0
"4930449E18Rik",0,4
"4930449I24Rik",0,0
"4930451G09Rik",1,4
"4930451I11Rik",0,0
"4930452A19Rik",0,0
"4930452B06Rik",47,58
"4930452G13Rik",0,3
"4930452N14Rik",0,0
"4930453H23Rik",0,0
"4930453L07Rik",0,0
"4930453N24Rik",79,70
"4930455B14Rik",0,0
"4930455C13Rik",2,1
"4930455D15Rik",0,0
"4930455F16Rik",4,0
"4930455G09Rik",0,0
"4930455H04Rik",33,19
"4930455J16Rik",0,0
"4930456L15Rik",0,0
"4930459C07Rik",0,0
"4930459L07Rik",0,0
"4930461G14Rik",0,0
"4930463O16Rik",0,0
"4930465K10Rik",0,0
"4930465M20Rik",0,0
"4930467D21Rik",0,0
"4930467E23Rik",1,2
"4930467K11Rik",0,0
"4930469G21Rik",55,49
"4930470H14Rik",2,2
"4930470O06Rik",0,3
"4930470P17Rik",0,1
"4930471C04Rik",0,0
"4930471G03Rik",0,0
"4930471M09Rik",0,0
"4930473A02Rik",33,25
"4930473O22Rik",0,0
"4930474G06Rik",0,3
"4930474H20Rik",0,0
"4930474M22Rik",0,0
"4930474N05Rik",0,0
"4930474N09Rik",1,0
"4930477N07Rik",0,0
"4930478L05Rik",22,10
"4930478P22Rik",0,0
"4930479D17Rik",2,0
"4930480E11Rik",0,0
"4930480G23Rik",0,0
"4930480K15Rik",266,373
"4930480K23Rik",15,30
"4930480M12Rik",0,0
"4930481A15Rik",1113,905
"4930482G09Rik",0,1
"4930483J18Rik",0,0
"4930483K19Rik",1,2
"4930483O08Rik",0,0
"4930484H19Rik",6,0
"4930486F22Rik",0,0
"4930486I03Rik",0,0
"4930486L24Rik",0,3
"4930487D11Rik",0,0
"4930487H11Rik",60,18
"4930488B22Rik",0,0
"4930488L21Rik",14,16
"4930500F04Rik",0,0
"4930500L23Rik",1,0
"4930502A04Rik",0,0
"4930502E09Rik",0,0
"4930502E18Rik",0,1
"4930503B20Rik",0,0
"4930503E14Rik",0,0
"4930503E24Rik",15,16
"4930503F20Rik",0,0
"4930503H13Rik",0,0
"4930503L19Rik",32,45
"4930503O07Rik",0,0
"4930504C09Rik",1,0
"4930504O13Rik",0,0
"4930505A04Rik",2,4
"4930505G20Rik",0,0
"4930505K13Rik",0,3
"4930505K14Rik",0,0
"4930506A18Rik",1,5
"4930506C21Rik",37,31
"4930507D05Rik",38,33
"4930507D10Rik",0,0
"4930509E16Rik",2,0
"4930509J09Rik",1,1
"4930509K18Rik",0,0
"4930511A02Rik",0,0
"4930511A08Rik",1,0
"4930511E03Rik",0,0
"4930511M06Rik",1,6
"4930512B01Rik",12,10
"4930512J16Rik",0,0
"4930512M02Rik",2,0
"4930513D17Rik",0,0
"4930513N10Rik",11,6
"4930513O06Rik",0,0
