Gene_ID,Gene Name
20539,Slc7a5
50934,Slc7a8
12583,Cdo1
215113,Slc43a2
26570,Slc7a11
72269,Cda
11628,Aicda
80914,Uck2
22245,Uck1
66588,Cmpk1
22169,Cmpk2
320127,Dgki
217480,Dgkb
104418,Dgkz
380921,Dgkh
110197,Dgkg
227333,Dgkd
13139,Dgka
56077,Dgke
110524,Dgkq
13142,Dao
93692,Glrx
69367,Glrx2
70503,Ddo
13177,Eci1
23986,Eci2
13178,Dck
13190,Dct
20249,Scd1
56473,Fads2
76267,Fads1
13350,Dgat1
67800,Dgat2
27369,Dguok
20527,Slc2a3
20525,Slc2a1
20528,Slc2a4
74754,Dhcr24
13122,Cyp7a1
13360,Dhcr7
13244,Degs1
70059,Degs2
20860,Sult1e1
56749,Dhodh
64705,Dpys
22240,Dpysl3
12934,Dpysl2
57274,Slc16a8
110196,Fdps
74129,Dmgdh
67283,Slc25a19
380959,Alg10b
68563,Dpm3
13481,Dpm2
13480,Dpm1
59012,Moxd1
13166,Dbh
22173,Tyr
20538,Slc6a2
13162,Slc6a3
20519,Slc22a3
12183,Bpgm
18648,Pgam1
56012,Pgam2
192156,Mvd
232449,Dera
99586,Dpyd
21877,Tk1
57813,Tk2
110074,Dut
16434,Itpa
13595,Ebp
93747,Echs1
11992,Auh
51798,Ech1
74147,Ehhadh
26458,Slc27a2
108115,Slco4a1
58807,Slco1c1
239273,Abcc4
108116,Slco3a1
110826,Etfb
110842,Etfa
66841,Etfdh
75320,Etnk1
214253,Etnk2
75540,Fpgt
435766,Tnni3k
74205,Acsl3
50790,Acsl4
14081,Acsl1
433256,Acsl5
328845,Acsbg2
216739,Acsl6
117147,Acsm1
18605,Enpp1
209558,Enpp3
83603,Elovl4
170439,Elovl6
68801,Elovl5
54326,Elovl2
666168,Cyp4a31
100040843,Cyp4a32
13117,Cyp4a10
435802,Cyp4a30b
14104,Fasn
26457,Slc27a1
26569,Slc27a4
26568,Slc27a3
11674,Aldoa
230163,Aldob
11676,Aldoc
14121,Fbp1
270198,Pfkfb4
18639,Pfkfb1
170768,Pfkfb3
18640,Pfkfb2
14120,Fbp2
14151,Fech
107747,Aldh1l1
73649,Cybrd1
234730,Fcsk
71562,Afmid
13361,Dhfr
14287,Fpgs
56017,Slc2a8
20526,Slc2a2
435818,Slc2a7
56485,Slc2a5
216188,Aldh1l2
270685,Mthfd1l
108156,Mthfd1
66848,Fuca2
71665,Fuca1
14085,Fah
14194,Fh1
14343,Fut1
14348,Fut9
57370,B4galt3
53418,B4galt2
14595,B4galt1
56336,B4galt5
14571,Gpd2
56454,Aldh18a1
100198,H6pd
14381,G6pdx
14385,Slc37a4
14431,Gamt
53897,Gal3st1
19025,Ctsa
12091,Glb1
50917,Galns
18010,Neu1
14420,Galc
14421,B4galnt1
234356,Csgalnact1
78752,Csgalnact2
74241,Chpf
269941,Chsy1
78923,Chsy3
230145,Galnt12
14423,Galnt1
231605,Galnt9
14426,Galnt4
171212,Galnt10
271786,Galnt13
207839,Galnt6
78754,Galnt15
241391,Galnt5
108148,Galnt2
108150,Galnt7
71685,Galnt14
231050,Galnt11
14425,Galnt3
170441,Slc2a10
117592,B3galt6
218271,B4galt7
232714,Mgam
14450,Gart
11593,Aga
14466,Gba
227671,Gbgt1
104776,Aldh6a1
214579,Aldh5a1
434437,Amt
104174,Gldc
68133,Gcsh
14538,Gcnt2
228368,Slc35c1
22122,Tsta3
14590,Ggh
110175,Ggct
27357,Gyg
232493,Gys2
14936,Gys1
23887,Ggt5
108037,Shmt2
20425,Shmt1
11605,Gla
74185,Gbe1
110006,Gusb
109685,Hyal3
93683,Glce
100910,Chpf2
14042,Ext1
14043,Ext2
76898,B3gat1
280645,B3gat2
72727,B3gat3
27419,Naglu
64580,Ndst4
15531,Ndst1
83398,Ndst3
17423,Ndst2
54616,Extl3
58193,Extl2
56219,Extl1
117591,Slc2a9
353169,Slc2a12
227659,Slc2a6
20537,Slc5a1
77559,Agl
110078,Pygb
19309,Pygm
110095,Pygl
14629,Gclc
14630,Gclm
14661,Glud1
14317,Ftcd
14660,Gls
216456,Gls2
71803,Slc25a18
68267,Slc25a22
270076,Gcdh
140919,Slc17a6
216227,Slc17a8
72961,Slc17a7
15112,Hao1
56185,Hao2
67092,Gatm
76238,Grhpr
14933,Gk
14626,Gk2
14651,Hagh
14664,Slc6a9
110208,Pgd
14711,Gnmt
14732,Gpam
70325,Pigw
241062,Pgap1
67556,Pigm
72084,Pigx
14782,Gsr
21672,Prdx2
18477,Prdx1
14776,Gpx2
14775,Gpx1
625249,Gpx4
14778,Gpx3
75512,Gpx6
67305,Gpx7
11757,Prdx3
14854,Gss
14598,Ggt1
234889,Gucy1a2
54195,Gucy1b1
230103,Npr2
245650,Gucy2f
14917,Gucy2c
18160,Npr1
14919,Gucy2e
60596,Gucy1a1
14544,Gda
12352,Car5a
56078,Car5b
27392,Pign
230801,Pigv
99439,Duox1
214593,Duox2
11833,Aqp8
56703,Pigo
18701,Pigf
433931,Pigg
239827,Pigz
329777,Pigk
14731,Gpaa1
228812,Pigu
276846,Pigs
78928,Pigt
15108,Hsd17b10
15107,Hadh
15118,Has3
15116,Has1
15117,Has2
71883,Coq2
20535,Slc4a2
240215,Slc4a9
20533,Slc4a1
20536,Slc4a3
103988,Gck
15277,Hk2
15275,Hk1
216019,Hkdc1
212032,Hk3
15233,Hgd
58875,Hibadh
15186,Hdc
11944,Atp4a
11945,Atp4b
70789,Kynu
208715,Hmgcs1
15360,Hmgcs2
15356,Hmgcl
208982,Hmgcll1
15368,Hmox1
15369,Hmox2
56794,Hacl1
52815,Ldhd
27029,Sgsh
15483,Hsd11b1
15484,Hsd11b2
15485,Hsd17b1
14979,H2-Ke6
15486,Hsd17b2
15490,Hsd17b7
15497,Hsd3b6
15492,Hsd3b1
15496,Hsd3b5
15494,Hsd3b3
15493,Hsd3b2
15495,Hsd3b4
100043456,Gm10681
101502,Hsd3b7
57028,Pdxp
15929,Idh3g
170718,Idh3b
67834,Idh3a
15926,Idh1
269951,Idh2
22018,Tpo
15932,Idua
12036,Bcat2
72401,Slc43a1
56727,Miox
239606,Slc2a13
53881,Slc5a3
319554,Idi1
320581,Idi2
216225,Slc5a8
56451,Suclg1
20917,Suclg2
20916,Sucla2
20498,Slc12a4
20499,Slc12a7
107723,Slc12a6
57138,Slc12a5
16548,Khk
236727,Slc9a7
77031,Slc9a8
98256,Kmo
226413,Lct
11432,Acp2
16816,Lcat
171405,Slc22a27
207151,Slc22a19
236149,Slc22a26
236293,Slc22a29
319800,Slc22a30
434674,Slc22a28
327951,Cyb5d1
64008,Aqp9
106648,Cyp4f15
16987,Lss
18783,Pla2g4a
12735,-
19193,Pipox
16956,Lpl
15450,Lipc
12613,Cel
116939,Pnpla3
23945,Mgll
237625,Pla2g3
79235,Lrat
235293,Sc5d
16993,Lta4h
17001,Ltc4s
66447,Mgst3
211666,Mgst2
14874,Gstz1
14387,Gaa
72039,Mccc1
78038,Mccc2
56690,Mlycd
246221,Mpst
17448,Mdh2
17449,Mdh1
107029,Me2
17436,Me1
109264,Me3
15930,Ido1
13095,Cyp2c29
13076,Cyp1a1
13078,Cyp1b1
13077,Cyp1a2
11720,Mat1a
108645,Mat2b
232087,Mat2a
238505,Mtr
17855,Mvk
16331,Inpp5d
104015,Synj1
16332,Inppl1
170835,Inpp5j
16330,Inpp5b
64436,Inpp5e
212111,Inpp5a
16329,Inpp1
228550,Itpka
233011,Itpkc
320404,Itpkb
71780,Isyna1
269180,Inpp4a
234515,Inpp4b
76051,Ganc
73724,Mcee
17850,Mmut
68393,Mogat1
233549,Mogat2
66902,Mtap
17768,Mthfd2
94192,C1galt1
11484,Aspa
71670,Acy3
17939,Naga
59033,Slc4a8
94229,Slc4a10
114479,Slc5a5
11931,Atp1b1
232975,Atp1a3
98660,Atp1a2
67821,Atp1b4
11933,Atp1b3
11928,Atp1a1
27222,Atp1a4
11932,Atp1b2
20544,Slc9a1
105243,Slc9a3
226999,Slc9a2
338403,Cndp1
66054,Cndp2
20497,Slc12a3
238384,Slc24a4
94249,Slc24a3
214111,Slc24a1
76376,Slc24a2
76025,Cant1
66422,Dctpp1
67464,Entpd4
100862375,Entpd4b
21915,Dtymk
79059,Nme3
18103,Nme2
18102,Nme1
54369,Nme6
171567,Nme7
56520,Nme4
58176,Rhbg
19743,Rhag
20495,Slc12a1
20496,Slc12a2
74080,Nmnat3
66454,Nmnat1
226518,Nmnat2
59027,Nampt
18113,Nnmt
18948,Pnmt
18127,Nos3
18125,Nos1
18126,Nos2
667034,Pnp2
18950,Pnp
20517,Slc22a1
20445,St6galnac1
50773,Nt5c
18675,Phex
103850,Nt5m
23959,Nt5e
69983,Sis
18416,Otc
67041,Oxct1
353371,Oxct2b
13171,Dbt
12040,Bckdhb
12039,Bckdha
75475,Oplah
18242,Oat
22247,Umps
13521,Slc26a2
231583,Slc26a1
13487,Slc26a3
13070,Cyp11a1
13072,Cyp11b2
110115,Cyp11b1
13074,Cyp17a1
13075,Cyp19a1
56388,Cyp3a25
13113,Cyp3a13
13114,Cyp3a16
337924,Cyp3a44
13112,Cyp3a11
100041449,Cyp3a59
622127,Cyp3a57
100041375,Cyp3a41b
13079,Cyp21a1
104086,Cyp27a1
13086,Cyp2a4
13087,Cyp2a5
72082,Cyp2c55
13097,Cyp2c38
13098,Cyp2c39
69888,Cyp2c66
72303,Cyp2c65
56448,Cyp2d22
13107,Cyp2f2
56050,Cyp39a1
53973,Cyp3a41a
13116,Cyp46a1
64385,Cyp4f14
170716,Cyp4f13
72054,Cyp4f18
13123,Cyp7b1
13124,Cyp8b1
209027,Pycr1
100163,Pafah2
18475,Pafah1b2
18476,Pafah1b3
18472,Pafah1b1
27226,Pla2g7
73836,Slc35b2
11982,Atp10a
18806,Pld2
18805,Pld1
266645,Acmsd
18563,Pcx
18670,Abcb4
54611,Pde3a
18578,Pde4b
18584,Pde8a
18574,Pde1b
18583,Pde7a
110385,Pde4c
18575,Pde1c
238871,Pde4d
18573,Pde1a
18576,Pde3b
23984,Pde10a
18577,Pde4a
207728,Pde2a
29863,Pde7b
241489,Pde11a
218461,Pde8b
110855,Pde6c
18585,Pde9a
242202,Pde5a
225600,Pde6a
18587,Pde6b
78600,Pde6h
18582,Pde6d
18588,Pde6g
18598,Pdha2
68263,Pdhb
235339,Dlat
18597,Pdha1
103711,Pnpo
11980,Atp8a1
18534,Pck1
74551,Pck2
80911,Acox3
68671,Pcyt2
18618,Pemt
236539,Phgdh
19215,Ptgds
54486,Hpgds
96979,Ptges2
64292,Ptges
19223,Ptgis
66461,Ptpmt1
74451,Pgs1
19225,Ptgs2
19224,Ptgs1
234724,Tat
18478,Pah
16922,Phyh
19211,Pten
20975,Synj2
18720,Pip5k1a
18717,Pip5k1c
18719,Pip5k1b
84095,Pi4k2a
224020,Pi4ka
107650,Pi4kb
74769,Pik3cb
18708,Pik3r1
18707,Pik3cd
18710,Pik3r3
18709,Pik3r2
18706,Pik3ca
23900,Hcst
30955,Pik3cg
320207,Pik3r5
320634,Ocrl
18795,Plcb1
234779,Plcg2
269615,Plch2
72469,Plcd3
114875,Plcz1
18802,Plcd4
18796,Plcb2
18803,Plcg1
74055,Plce1
18799,Plcd1
18798,Plcb4
18797,Plcb3
227120,Plcl1
433022,Plcxd2
269437,Plch1
18711,Pikfyve
108083,Pip4k2b
117150,Pip4k2c
18718,Pip4k2a
53357,Pla2g6
18780,Pla2g2a
66350,Pla2g12a
18784,Pla2g5
26971,Pla2g2f
211429,Pla2g4b
329502,Pla2g4e
18778,Pla2g1b
18782,Pla2g2d
26565,Pla2g10
26970,Pla2g2e
68603,Pmvk
271424,Ip6k3
27399,Ip6k1
76500,Ip6k2
74776,Ppa2
50784,Plpp2
19012,Plpp1
67916,Plpp3
19044,Ppox
13861,Epx
11758,Prdx6
17523,Mpo
19125,Prodh
24059,Slco2a1
320951,Pisd
19210,Ptdss1
27388,Ptdss2
171210,Acot2
170789,Acot8
171282,Acot4
19286,Pts
20229,Sat1
69215,Sat2
216134,Pdxk
22271,Upp1
76654,Upp2
14863,Gstm2
71336,Rbks
19682,Rdh5
54150,Rdh7
216453,Rdh19
103142,Rdh9
19683,Rdh16
216454,Rdh16f2
107605,Rdh1
98711,Rdh10
108841,Rdh13
77974,Rdh12
17252,Rdh11
242285,Sdr16c5
105014,Rdh14
235033,Rdh8
69698,Slc52a3
225994,Nmrk1
20443,St3gal4
20442,St3gal1
20444,St3gal2
338362,Ust
23908,Hs2st1
15931,Ids
15476,Hs3st1
628779,Hs3st4
319415,Hs3st5
195646,Hs3st2
15478,Hs3st3a1
54710,Hs3st3b1
328779,Hs3st6
72136,Chst14
58250,Chst11
71797,Chst13
59031,Chst12
11881,Arsb
56773,Chst5
54371,Chst2
26887,Chst4
76969,Chst1
53374,Chst3
60322,Chst7
50787,Hs6st3
50785,Hs6st1
50786,Hs6st2
75612,Gns
30956,Aass
69156,Comtd1
140483,Hnmt
192166,Sardh
81535,Sgpp1
20322,Sord
20280,Scp2
20540,Slc7a7
268656,Sptlc1
20773,Sptlc2
228677,Sptlc3
13885,Esd
20397,Sgpl1
20454,St3gal5
56632,Sphk2
20698,Sphk1
76668,Mdh1b
58994,Smpd3
238011,Enpp7
77626,Smpd4
20597,Smpd1
20598,Smpd2
208449,Sgms1
208890,Slc26a7
320718,Slc26a9
224661,Slc26a8
268512,Slc26a11
243755,Slc13a4
20652,Soat1
20657,Sod3
20656,Sod2
20655,Sod1
20751,Spr
20603,Sms
20810,Srm
20775,Sqle
14137,Fdft1
78925,Srd5a1
94224,Srd5a2
11298,Aanat
15567,Slc6a4
20441,St3gal3
54613,St3gal6
20446,St6galnac2
20447,St6galnac3
50935,St6galnac6
26938,St6galnac5
20449,St8sia1
225742,St8sia5
20905,Sts
66945,Sdha
66925,Sdhd
66052,Sdhc
67680,Sdhb
211389,Suox
21366,Slc6a6
13180,Pcbd1
18115,Nnt
105663,Thtpa
20502,Slc16a2
72962,Tymp
192289,Tmlhe
50493,Txnrd1
212974,Pgghg
58866,Treh
21990,Tph1
216343,Tph2
56720,Tdo2
209176,Ido2
55961,Slc13a1
21391,Tbxas1
21823,Th
22178,Tyrp1
50798,Gne
66248,Alg5
22232,Slc35a2
22235,Ugdh
242585,Slc35d1
67883,Uxs1
18606,Enpp2
58246,Slc35b4
16770,Lalba
22234,Ugcg
70484,Slc35d2
394434,Ugt1a9
394430,Ugt1a10
94284,Ugt1a6a
394432,Ugt1a7c
394435,Ugt1a6b
394433,Ugt1a5
22236,Ugt1a2
394436,Ugt1a1
243085,Ugt2b35
231396,Ugt2b36
22238,Ugt2b5
112417,Ugt2b37
100559,Ugt2b38
71773,Ugt2b1
100727,Ugt2b34
68556,Uckl1
22436,Xdh
102448,Xylb
233781,Xylt1
217119,Xylt2
67880,Dcxr
76429,Lhpp
67895,Ppa1
76055,Oga
12870,Cp
14325,Ftl1
14319,Fth1
67634,Ftmt
109754,Cyb5r3
72017,Cyb5r1
320635,Cyb5r2
26462,Txnrd2
71743,Coasy
76952,Nt5c2
230718,Nt5c1a
107569,Nt5c3
70881,Nt5c1b
15452,Hprt
11821,Aprt
52633,Nit2
18770,Pklr
207182,Ggt7
71522,Ggt6
18641,Pfkl
107869,Cth
14555,Gpd1
69080,Gmppa
331026,Gmppb
12411,Cbs
11647,Alpl
19895,Rpia
66355,Gmpr
105446,Gmpr2
107239,Carns1
229363,Gmps
70025,Acot7
19063,Ppt1
171281,Acot3
54397,Ppt2
111175,Pecr
26922,Mecr
11370,Acadvl
11363,Acadl
235582,Glyctk
320208,Tmem91
223646,Naprt
67375,Qprt
382985,Rrm2b
20133,Rrm1
20135,Rrm2
15357,Hmgcr
666417,Gm8091
107885,Mthfs
100039707,Mthfsl
211488,Ado
211347,Pank3
74450,Pank2
75735,Pank1
269614,Pank4
67993,Nudt12
22117,Tst
227095,Hibch
69051,Pycr2
22275,Urod
13121,Cyp51
433323,Sgpp2
20524,Slc25a17
229782,Slc35a3
27409,Abcg5
67470,Abcg8
237831,Slc13a5
223920,Soat2
16889,Lipa
76459,Car12
12349,Car2
230099,Car9
23831,Car14
12353,Car6
12346,Car1
12351,Car4
12354,Car7
12319,Car8
71934,Car13
27416,Abcc5
18173,Slc11a1
20504,Slc17a1
22782,Slc30a1
224674,Slc37a1
11666,Abcd1
19299,Abcd3
217700,Acot6
67115,Rpl14
94352,Loxl2
72562,Pcbd2
29859,Sult4a1
67328,Lyzl1
76113,Lpo
71147,Oxsm
234129,Tpte
12799,Cnp
107146,Glyat
13120,Cyp4b1
13088,Cyp2b10
13110,Cyp2j6
81906,Cyp4x1
74134,Cyp2s1
631304,Cyp4f40
17228,Cma1
109697,Cpa1
232680,Cpa2
329093,Cpa6
74649,Cpa5
17229,Tpsb2
100503895,Tpsab1
11421,Ace
16591,Kl
56386,B4galt6
22239,Ugt8a
18746,Pkm
18704,Pik3c2a
240752,Pik3c2b
18705,Pik3c2g
26378,Decr2
67460,Decr1
109857,Cbr3
28200,Dhrs4
320997,Cyp4f39
13850,Ephx2
74302,Mtmr3
77116,Mtmr2
14780,Gpx5
104245,Slc6a5
218756,Slc4a7
233836,Slc5a11
20515,Slc20a1
20516,Slc20a2
142681,Slc34a3
240332,Slc6a7
15487,Hsd17b3
13167,Dbi
26874,Abcd2
225579,Slc27a6
94180,Acsbg1
102680,Slc6a20a
56643,Slc15a1
52466,Slc46a1
12751,Tpp1
14080,Fabp1
66988,Lap3
102570,Slc22a13
18624,Pepd
18174,Slc11a2
53945,Slc40a1
11648,Akp3
17769,Mthfr
66194,Pycrl
66171,Pgls
226844,Flvcr1
66646,Rpe
108114,Slc22a7
18399,Slc22a6
19879,Slc22a8
22598,Slc6a18
234967,Slc36a4
12638,Cftr
243328,Slc29a4
27404,Abca8b
26357,Abcg2
11828,Aqp3
11832,Aqp7
27410,Abca3
11304,Abca4
109342,Slc5a10
230612,Slc5a9
246787,Slc5a2
241612,Slc5a12
52710,Slc52a2
16523,Kcnj8
20927,Abcc8
20928,Abcc9
16514,Kcnj11
19662,Rbp4
20897,Stra6
19659,Rbp1
19660,Rbp2
20778,Scarb1
237636,Npc1l1
15446,Hpgd
74442,Sgms2
74182,Gpcpd1
64602,Ireb2
78801,Ak7
11636,Ak1
11566,Adss
11565,Adssl1
114863,Plpbp
11846,Arg1
12892,Cpox
51797,Ctps
55936,Ctps2
14923,Guk1
110391,Qdpr
14593,Ggps1
433182,Eno1b
13806,Eno1
13808,Eno3
13807,Eno2
15203,Heph
319945,Flad1
216558,Ugp2
14433,Gapdh
100042025,Gapdh-ps15
14447,Gapdhs
14583,Gfpt1
14584,Gfpt2
14645,Glul
266744,Lgsn
13479,Dpep1
218138,Gmds
14528,Gch1
12350,Car3
11826,Aqp1
11829,Aqp4
17339,Mip
11827,Aqp2
11830,Aqp5
15288,Hmbs
12035,Bcat1
23917,Impdh1
23918,Impdh2
12215,Bsg
110119,Mpi
665563,Mthfd2l
192185,Nadk
110895,Slc9a4
277973,Slc9a5
14751,Gpi1
18655,Pgk1
338366,Mia3
18663,Pgk2
72157,Pgm1
66681,Pgm2
29858,Pmm1
54128,Pmm2
17025,Alad
66812,Ppcdc
106564,Ppcs
56189,Prodh2
246049,Slc36a2
75456,Prps1l1
19139,Prps1
110639,Prps2
107272,Psat1
100678,Psph
54391,Rfk
21351,Taldo1
208967,Thnsl1
21881,Tkt
74419,Tktl2
83553,Tktl1
29807,Tpk1
21991,Tpi1
74246,Gale
107652,Uap1
227620,Uap1l1
22276,Uros
108052,Slc14a1
27411,Slc14a2
104816,Aspg
107476,Acaca
78914,Nadsyn1
11534,Adk
69519,Rwdd2a
75572,Acyp2
66204,Acyp1
245847,Amdhd2
108147,Atic
109900,Asl
69634,Clybl
67980,Gnpda2
26384,Gnpda1
14635,Galk1
69976,Galk2
14430,Galt
231327,Ppat
68977,Haghl
15109,Hal
71761,Amdhd1
109801,Glo1
55980,Impa1
114663,Impa2
53332,Mtmr1
14913,Guca1a
18263,Odc1
56421,Pfkp
18642,Pfkm
319848,Slc17a4
105355,Slc17a3
218103,Slc17a2
20505,Slc34a1
20531,Slc34a2
237823,Pfas
257635,Sdsl
22171,Tyms
243537,Uroc1
19703,Renbp
320685,Dctd
116914,Slc19a2
269378,Ahcy
229709,Ahcyl1
55951,Mpc1
70456,Mpc2
54670,Atp8b1
54667,Atp8b2
50770,Atp11a
320940,Atp11c
18669,Abcb1b
66834,Acot13
22227,Ucp1
329910,Acot11
74104,Abcb6
56315,Rhcg
12491,Cd36
19765,Ralbp1
18104,Nqo1
68312,Gstm7
171168,Acer1
66190,Acer3
230379,Acer2
19156,Psap
14667,Gm2a
230101,Gba2
23956,Neu2
50877,Neu3
20452,St8sia4
16890,Lipe
16891,Lipg
67758,Aadac
269060,Dagla
231871,Daglb
18947,Pnliprp2
69060,Pnlip
66853,Pnpla2
67717,Lipf
18946,Pnliprp1
14077,Fabp3
14079,Fabp2
12140,Fabp7
16592,Fabp5
16204,Fabp6
11770,Fabp4
75497,Fabp12
21884,Fabp9
20216,Acsm3
233799,Acsm2
272428,Acsm5
233801,Acsm4
67469,Abhd5
218121,Mboat1
225010,Lclat1
64898,Lpin2
235044,Plppr2
229791,Plppr4
216152,Plppr3
64899,Lpin3
14245,Lpin1
71910,Plpp5
381925,Plpp4
28042,Selenoi
18807,Pld3
104759,Pld4
194908,Pld6
