mets,mets_name,genes,rxns,subsystems
CE6246[c],"5,12-Dihydroxy-6,8,10,14-Eicosatetraenoic Acid",19683,HMR_3734,Cholesterol metabolism
udpgal[c],Uridine-5-Diphosphate-D-Galactose,19703,CRVSATPtu,Drug metabolism
pcholhep_hs[c],1-Heptadecanoylglycerophosphocholine,19743,ACS,Glycolysis/gluconeogenesis
CE2242[m],(2E)-Docosenoyl Coenzyme A,19879,HMR_2945,Fatty acid synthesis
CE2246[m],3-Hydroxydocosanoyl Coenzyme A,19895,r1170,Miscellaneous
asp__D[e],D-Aspartate,20133,GPAM_hs_1,Triacylglycerol synthesis
pail345p_hs[c],"1-Phosphatidyl-1D-Myo-Inositol 3,4,5-Trisphosphate",20135,MEVK1,Squalene and cholesterol synthesis
pail35p_hs[c],"1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate",20216,PEDH17_HSPLA2,Glycerophospholipid metabolism
M00170[m],(S)-3-Hydroxy-11-Cis-Octadecenoyl Coenzyme A,20229,HMR_3182,Fatty acid oxidation
M00841[m],3-Oxo-11-Cis-Octadecenoyl Coenzyme A,20249,PGPPT,Glycerophospholipid metabolism
cytd[l],Cytidine,20280,HMR_2954,Fatty acid synthesis
cmp[l],Cytidine 5-Monophosphate,20322,r1777,"Transport, extracellular"
pe224_hs[e],"1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)",20397,DOCTETETH,Glycerophospholipid metabolism
pe224_hs[c],"1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16)",20425,EICOSTETCPT2,Fatty acid oxidation
etfox[m],Electron Transfer Flavoprotein Oxidized,20442,RDH3a,Vitamin A metabolism
etfrd[m],Electron Transfer Flavoprotein Reduced,20443,PCHOLET_HSABCt,"Transport, extracellular"
gsn[l],Guanosine,20444,r1670,"Transport, extracellular"
gmp[l],Guanosine-5-Monophosphate,20446,HMR_3406,Fatty acid oxidation
M00022[m],"13Z,16Z-Docosadienoylcarnitine",20447,HMR_1280,Leukotriene metabolism
M00023[m],"13Z,16Z-Docosadienoyl Coenzyme A",20448,FORtm,"Transport, mitochondrial"
pcholn2254_hs[c],"1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6",20449,ACRNtp,"Transport, peroxisomal"
M00004[r],10Z-Heptadecenoyl Coenzyme A,20454,2HBO,Propanoate metabolism
M01454[r],Cholest-5-En-3B-Yl (9Z-Heptadecenoate),20463,NEU22,Sphingolipid metabolism
chol[e],Choline,20493,NT5C,NAD metabolism
mi34p[c],"1D-Myo-Inositol 3,4-Bisphosphate",20494,GLYALDDr,Miscellaneous
gsn[e],Guanosine,20495,GLUCYS,Glutathione metabolism
gsn[c],Guanosine,20496,SQLSr,Cholesterol metabolism
glcur[l],D-Glucuronate,20497,HMR_8023,"Transport, extracellular"
glcur[c],D-Glucuronate,20498,r1175,Miscellaneous
M00003[e],10Z-Heptadecenoic Acid,20499,HMGCOAR,Cholesterol metabolism
M00003[c],10Z-Heptadecenoic Acid,20500,RE3273C_1,Phosphatidylinositol phosphate metabolism
gm1_hs[c],Ganglioside Gm1,20501,HMR_3069,Fatty acid oxidation
ga1_hs[c],Gibberellin A1,20502,SK_octdececoa_c,Fatty acid oxidation
5htrp[c],5-Hydroxy-L-Tryptophan,20503,FCLTm,Heme synthesis
dhbpt[c],"6,7-Dihydrobiopterin",20504,GALGT3,Sphingolipid metabolism
thbpt[c],"5,6,7,8-Tetrahydrobiopterin",20505,HEXDECEETH,Glycerophospholipid metabolism
4hoxpacd[c],(4-Hydroxyphenyl)Acetaldehyde,20508,r1007,"Transport, peroxisomal"
4hphac[c],4-Hydroxyphenylacetate,20509,MTHFDm,Folate metabolism
ttdcea[r],9E-Tetradecenoic Acid (N-C14:1),20510,HMR_3223,Fatty acid oxidation
M00129[r],9E-Tetradecenoyl Coenzyme A,20511,PCHOLN205_HSABCt,"Transport, extracellular"
M00003[r],10Z-Heptadecenoic Acid,20512,HMR_3724,Cholesterol metabolism
odecrn[m],L-Oleoylcarnitine,20513,HMR_2967,Fatty acid synthesis
M00020[m],13Z-Octadecenoyl Coenzyme A,20514,HMR_2975,Fatty acid synthesis
aprut[c],N-Acetylputrescine,20515,UPP3S,Heme synthesis
ptrc[c],Putrescine,20516,HMR_3201,Fatty acid oxidation
CE2245[x],(2E)-Tetracosenoyl Coenzyme A,20517,TRDR,Nucleotide interconversion
CE2249[x],3-Hydroxytetracosanoyl Coenzyme A,20518,GGH_7THFl,Folate metabolism
dag_hs[c],Diglyceride,20519,PCHOLN28_HSPLA2,Glycerophospholipid metabolism
sphmyln18114_hs[c],"Sm (D18:1/14:0), Sphingomyelin",20520,NAIt,"Transport, extracellular"
fmn[c],Flavin Mononucleotide,20521,DURAD,Pyrimidine catabolism
ribflv[c],Riboflavin,20522,6EPVSthc,Drug metabolism
cysam[c],Cysteamine,20523,r1837,"Transport, extracellular"
sphings[c],Sphingosine,20524,SUBERCACT,Fatty acid oxidation
sphings[g],Sphingosine,20525,APOCF,Biotin metabolism
hs_pre7[g],(GlcNac-Glca)3-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),20526,SMS3,Glycerophospholipid metabolism
hs_pre8[g],Glca-(GlcNac-Glca)3-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),20527,FPGS9,Folate metabolism
L2aadp[m],L-2-Aminoadipate,20528,HACD9m,"Valine, leucine, and isoleucine metabolism"
2oxoadp[m],2-Oxoadipate,20531,r1750,"Transport, extracellular"
ksii_core2_pre2[g],"Keratan Sulfate Ii Biosynthesis, Precursor 2",20532,PPPGOm,Heme synthesis
ksii_core2_pre1[g],"Keratan Sulfate Ii Biosynthesis, Precursor 1",20533,RE3234C,Fatty acid synthesis
HC01672[c],Acetyl Adenylate,20535,HMR_3431,Fatty acid oxidation
M01207[c],"8Z,11Z-Eicosadienoic Acid",20536,PI34P5K,Inositol phosphate metabolism
c12dc[c],Dodecanedioyl Carnitine,20537,HAtly,"Transport, lysosomal"
c12dc[x],Dodecanedioyl Carnitine,20538,r1811,"Transport, extracellular"
acrn[m],O-Acetylcarnitine,20539,HMR_7329,N-glycan metabolism
CE2420[m],(3S)-3-Hydroxydodec-Cis-6-Enoyl Coenzyme A,20540,HMR_0817,Glycosphingolipid metabolism
CE0693[m],3-Oxolaur-6-Cis-Enoyl Coenzyme A,20541,PI5P3K,Inositol phosphate metabolism
HC01700[e],Gamma-Glutamyl-3-Aminopropiononitrile,20544,HMR_2535,Fatty acid synthesis
HC00955[e],L-3-Cyanoalanine,20597,r0047,Purine catabolism
co2[e],Carbon Dioxide,20598,HMR_7757,"Transport, mitochondrial"
o2[r],Oxygen,20603,ETHAK,Glycerophospholipid metabolism
Ssq23epx[r],"Squalene 2,3-Epoxide",20652,SERPT,Sphingolipid metabolism
sql[r],Squalene,20655,FACOAL170,Fatty acid oxidation
hdd2crn[c],Trans-Hexadec-2-Enoyl Carnitine,20656,r0641,Fatty acid oxidation
hdd2crn[m],Trans-Hexadec-2-Enoyl Carnitine,20657,EX_dopa4glcur_e,Exchange/demand reaction
pail_hs[c],1-Phosphatidyl-1D-Myo-Inositol,20698,C4x,"Transport, peroxisomal"
pail5p_hs[c],1-Phosphatidyl-1D-Myo-Inositol 5-Phosphate,207151,EX_M03131_e,Exchange/demand reaction
HC02021[r],Cholest-5-En-3Beta-Yl (9Z-Hexadecenoate),207182,SPHMYLN18121_hs_ATPt,"Transport, extracellular"
hdcea[r],Hexadecenoate (N-C16:1),207728,PCHOL2STE_HSABCt,"Transport, extracellular"
hpdcacoa[r],Heptadecanoyl Coenzyme A,20773,r0779,Miscellaneous
fpram[c],2-(Formamido)-N1-(5-Phospho-D-Ribosyl)Acetamidine,20775,HMR_0433,Fatty acid synthesis
hpdcacoa[c],Heptadecanoyl Coenzyme A,207839,PCm,Pyruvate metabolism
M00887[c],3-Oxononadecanoyl Coenzyme A,208043,RSVATPtu,Drug metabolism
M00343[c],"13Z,16Z,19Z-Docosatrienoyl Coenzyme A",20810,HMR_0851,Glycosphingolipid metabolism
M00342[c],"13Z,16Z,19Z-Docosatrienoylcarnitine",208211,NOt,"Transport, extracellular"
peole_hs[c],1-Oleoylglycerophosphoethanolamine (Delta 9),208266,PCHOL2LINL_HSPLA2,Glycerophospholipid metabolism
ppa[e],Propionate,208449,HMR_2859,"Transport, endoplasmic reticular"
lac__L[e],(S)-Lactate,20860,r1957,"Transport, extracellular"
M01870[g],(GlcNAc)7 (Man)3 (Asn)1,208665,NTD9e,Nucleotide interconversion
M01870[e],(GlcNAc)7 (Man)3 (Asn)1,208715,HMR_3100,Fatty acid oxidation
pcreat[m],Phosphocreatine,20887,HMR_8573,Starch and sucrose metabolism
4hatvlac[c],4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone,208890,RE2912M,Fatty acid oxidation
4hatvlac[e],4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone,208967,RBFK,Vitamin B2 metabolism
gq1b_hs[g],Gq1B,208982,LCAT35e,Cholesterol metabolism
gly[e],Glycine,209027,G14T20g,Keratan sulfate synthesis
phe__L[e],L-Phenylalanine,209039,HMR_2979,Fatty acid synthesis
phe__L[c],L-Phenylalanine,20905,HMR_3243,Fatty acid oxidation
duri[c],Deoxyuridine,20916,ASPT,Glutamate metabolism
dump[c],Deoxyuridine-5-Monophosphate,20917,HMR_3184,Fatty acid oxidation
HC01115[c],NeuNGc,209176,PIK4,Glycerophospholipid metabolism
ahcys[c],S-Adenosyl-L-Homocysteine,20927,ABTArm,Glutamate metabolism
M03005[c],"Trans,Cis,Cis,Cis-2,11,14,17-Eicosatetraenoyl Coenzyme A",20928,HMR_3117,Fatty acid oxidation
cholcoa[x],Choloyl Coenzyme A,20937,HMR_2391,Fatty acid synthesis
pcholn203_hs[c],"1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3",209558,HMR_2218,Fatty acid synthesis
M00054[m],(2E)-Nonadecenoyl Coenzyme A,20975,GTHS,Glutathione metabolism
M00790[m],3-Hydroxynonadecanoyl Coenzyme A,209837,CYTK2_1,Nucleotide interconversion
ru5p__D[c],D-Ribulose 5-Phosphate,210004,EX_ind3ac_e,Exchange/demand reaction
leuktrB4[m],Leukotriene B4,210044,C6COAt,"Transport, peroxisomal"
CE4990[m],12-Oxo-Leukotriene B4,211347,PCHOLN204_HSPLA2,Glycerophospholipid metabolism
M02612[r],Nonadecanoyl Coenzyme A,211389,LNELDCCPT1,Fatty acid oxidation
M00049[x],(2E)-Hexacosenoyl Coenzyme A,211429,r0357,Fructose and mannose metabolism
M00783[x],3-Hydroxyhexacosanoyl Coenzyme A,211488,ADPACDAc,Fatty acid oxidation
M00860[c],"3-Oxodocasa-Cis,Cis-13,16-Dienoyl Coenzyme A",212032,LCAT4e,Cholesterol metabolism
M00085[c],"(3S)-Hydroxy-Docasa-Cis,Cis-13,16-Dienoyl Coenzyme A",212111,3ISPVSthc,Drug metabolism
hx2coa[x],Trans-Hex-2-Enoyl Coenzyme A,212647,HEXCCOAtx,"Transport, peroxisomal"
HC01407[x],3S-Hydroxy-Hexanoyl Coenzyme A,212862,FACOAL1821,Fatty acid oxidation
tetpent3coa[c],"(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl Coenzyme A",21351,PTVSTATPtu,Drug metabolism
tethex3coa[c],"Tetracosa-6,9,12,15,18,21-All-Cis-Hexaenoyl Coenzyme A",21366,GGTAe2,Glutathione metabolism
hspg[g],Heparan Sulfate Proteoglycan,214084,FTHFLmi,Folate metabolism
hs_pre15[g],"Heparan Sulfate, Precursor 15",214111,HMR_2819,"Transport, endoplasmic reticular"
xser[g],Xyl-L-Ser (Protein),214162,FACOAE1829Z12Z,Fatty acid oxidation
xser[r],Xyl-L-Ser (Protein),214253,HMR_2609,"Transport, mitochondrial"
pcholn225_hs[e],"1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3",214579,HMR_3068,Fatty acid oxidation
pcholn225_hs[c],"1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3",214593,LEUKTRC4t,"Transport, extracellular"
pedh203_hs[e],"1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",214663,EX_etoh_e,Exchange/demand reaction
pa_hs[e],Phosphatidate,215015,r2112,"Transport, extracellular"
diholineth[e],Dihomo-Gamma-Linolenoyl Ethanolamide,215113,HMR_1742,Bile acid synthesis
ttdca[c],Tetradecanoic Acid,215335,LCAT48e,Cholesterol metabolism
tdcoa[c],Myristoyl Coenzyme A,215446,HMR_2365,Fatty acid synthesis
hs_pre9[g],(GlcNac-Glca)4-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),216019,RE0576C_1,Fatty acid synthesis
lnlncgcoa[r],Gamma-Linolenoyl Coenzyme A,216134,ACALDtm,"Transport, mitochondrial"
lnlnca[r],Alpha-Linolenate,216152,HMR_0260,Fatty acid oxidation
HC02203[e],Prostaglandin-A2,216188,ACER23g,Sphingolipid metabolism
HC02203[c],Prostaglandin-A2,216225,RE3430M,Eicosanoid metabolism
dhdascb[c],Dehydroascorbide,216227,HMR_0913,"Transport, lysosomal"
dhdascb[e],Dehydroascorbide,216343,HMR_0193,Fatty acid oxidation
HC01459[m],"(24R,25R)-3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",216453,EX_oleth_e,Exchange/demand reaction
cholcoaone[m],"3A,7A,12A-Trihydroxy-5B-24-Oxocholestanoyl Coenzyme A",216454,PPAer,Miscellaneous
CE5161[c],3(S)-Hydroxy-Cis-9-Octadecenoyl Coenzyme A,216456,RE3014R,Eicosanoid metabolism
pe2linl_hs[e],2-Linoleoylglycerophosphoethanolamine,216558,APOC_LYS_BTNPm,Biotin metabolism
simvgluc[r],simvastatin-acyl-glucuronide,21672,r1754,"Transport, extracellular"
smvacid[r],simvastatin dihydroxy acid form,216739,SBPP1,Sphingolipid metabolism
crvsm1[r],cerivastatin-M1,217119,PCHOLN19_HSPLA2,Glycerophospholipid metabolism
cvm1gluc[r],cerivastatin-M1-glucuronide,217214,HMR_2374,Fatty acid synthesis
elaidcrn[m],Elaidic carnitine,217480,MTHFC,Folate metabolism
M00127[m],9E-Octadecenoic Acid,217593,GMPtg,"Transport, golgi apparatus"
udpgal[r],Uridine-5-Diphosphate-D-Galactose,217700,41R2A1H12BOOX,Tyrosine metabolism
34dhphe[c],L-Dopa,217707,HMR_2686,"Transport, mitochondrial"
dopa[c],Dopamine,217837,RE3175C,Fatty acid oxidation
octdececrn[c],"Octadecenoyl Carnitine (Hypothetical, Position Of Double Bond Unknown)",218103,FUMm,Citric acid cycle
octdececrn[m],"Octadecenoyl Carnitine (Hypothetical, Position Of Double Bond Unknown)",218121,HMR_1738,Bile acid synthesis
pchollinl_hs[e],"1-Linoleoylglycerophosphocholine (Delta 9,12)",21823,SPHMYLN18123_hs_ATPt,"Transport, extracellular"
gthox[m],Glutathione Disulfide (Oxidized Glutathione),218232,ARGSL,Alanine and aspartate metabolism
C04805[m],5-Hydroxyeicosatetraenoate,218271,FACOAL206,Fatty acid oxidation
5HPET[m],5(S)-Hydroperoxyeicosatetraenoic Acid,218461,HMR_0962,"Transport, mitochondrial"
HC02160[e],Gm2-Pool,218476,SBTD_D2,Fructose and mannose metabolism
maltttr[e],Maltotetraose,21871,ADADir,Pyrimidine catabolism
tym[c],Tyramine,218756,HMR_3224,Fatty acid oxidation
prgnlone[c],Pregnenolone,21877,GGH_7DHFl,Folate metabolism
prgnlone[m],Pregnenolone,21881,GCALDD,Glyoxylate and dicarboxylate metabolism
glc__D[l],D-Glucose,21884,r1809,"Transport, extracellular"
malt[l],Maltose,218865,GLYOX,Pyruvate metabolism
34dhmald[c],"3,4-Dihydroxymandelaldehyde",219135,HMR_3663,Cholesterol metabolism
adrnl[c],Adrenaline,21915,HMR_0207,"Transport, extracellular"
mma[c],Methylammonium,21990,HMR_3456,Fatty acid synthesis
M02637[m],Octadecatrienoylcarnitine,21991,HMR_0386,Fatty acid oxidation
for[c],Formate,22117,r1910,"Transport, extracellular"
for[e],Formate,22169,HMR_3186,Fatty acid oxidation
4aabutn[e],4-Acetamidobutanoate,22171,SMS,Sphingolipid metabolism
HC10784[r],Cis-Myrist-7-Enoyl Coenzyme A,22173,C9BRxtc,"Transport, peroxisomal"
M01479[r],Cholesterol-Ester-7-Tetrade,22227,CYTK14n,Nucleotide interconversion
pcholdoc_hs[e],1-Docosahexaenoylglycerophosphocholine,22228,PE12_HSABCt,"Transport, extracellular"
pcholdoc_hs[c],1-Docosahexaenoylglycerophosphocholine,22229,HMR_3189,Fatty acid oxidation
biocyt[n],Biocytin,22232,RE1531M,Fatty acid oxidation
h2o[n],Water,22234,S6T25g,Chondroitin synthesis
btn[n],Biotin,22235,THFtl,"Transport, lysosomal"
HC02057[c],"1,2-Diacylglycerol-Ld-Pe-Pool",22236,FUM,Citric acid cycle
M00004[c],10Z-Heptadecenoyl Coenzyme A,22240,HMR_2675,Fatty acid oxidation
cholp[n],Choline Phosphate,22245,HMR_2610,"Transport, mitochondrial"
M00116[m],7Z-Octadecenoyl Coenzyme A,22247,HMR_3711,Cholesterol metabolism
M02457[r],"5Z,8Z,11Z-Eicosatrienoic Acid",22271,TYRTA,Tyrosine metabolism
retinal[c],Retinal,22272,HMR_8575,Starch and sucrose metabolism
retinol[c],Retinol,22273,PDE4,Nucleotide interconversion
pe15_hs[e],1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe),22275,ELAIDCPT2,Fatty acid oxidation
C05279[m],"Trans,Cis-Lauro-2,6-Dienoyl Coenzyme A",22276,HMR_3194,Fatty acid oxidation
lpam[m],Lipoamide,22348,EX_pendecaeth_e,Exchange/demand reaction
dhlam[m],Dihydrolipoamide,22361,SPMD3n,Sphingolipid metabolism
lneldccoa[m],"(6Z,9Z)-Octadecadienoyl Coenzyme A",223646,HMR_3709,Cholesterol metabolism
his__L[e],L-Histidine,223753,AKR1D2,Bile acid synthesis
glc__D[c],D-Glucose,223920,ECOAH9m,"Valine, leucine, and isoleucine metabolism"
M00263[c],"10Z,13Z,16Z-Docosatrienoylcarnitine",224020,SALMCOM,Tyrosine metabolism
M00263[m],"10Z,13Z,16Z-Docosatrienoylcarnitine",224024,HMR_3692,Cholesterol metabolism
Tyr_ggn[c],Tyr-194 Of Apo-Glycogenin Protein (Primer For Glycogen Synthesis),224129,r1842,"Transport, extracellular"
glygn3[c],"Glycogen, Structure 3 (Glycogenin-7[1,4-Glc])",224143,HMR_1321,Eicosanoid metabolism
o2s[c],Superoxide,22436,3HPVSTETCOAitx,Drug metabolism
o2s[e],Superoxide,224530,GLCt1,"Transport, extracellular"
pchol2palm_hs[c],2-Palmitoylglycerophosphocholine,224661,APAT2rm,Beta-Alanine metabolism
arachcoa[m],Arachidoyl Coenzyme A,224674,r2472,"Transport, mitochondrial"
CE2250[m],3-Oxodocosanoyl Coenzyme A,225010,HMR_3666,Cholesterol metabolism
pe12_hs[e],1-Didecanoylglycerophosphoethanolamine (C12:0 Pe),225326,SMPD3l,Sphingolipid metabolism
dcmp[c],Deoxycytidylic Acid,225579,GALtly,"Transport, lysosomal"
amp[l],Adenosine Monophosphate,225600,HMR_3712,Cholesterol metabolism
smv[e],simvastatin lactone form,225742,NTD7l,Purine catabolism
smv[c],simvastatin lactone form,225791,C161CPT1,Fatty acid oxidation
odecoa[c],Octadecenoyl Coenzyme A (N-C18:1 Coenzyme A),225887,HMR_0758,Sphingolipid metabolism
lneldccoa[c],"(6Z,9Z)-Octadecadienoyl Coenzyme A",225888,r2120,"Transport, extracellular"
M00063[m],(2E)-Pentenoyl Coenzyme A,225913,EX_lpam_e,Exchange/demand reaction
M00797[m],3-Hydroxypentanoyl Coenzyme A,22598,HMR_3071,Fatty acid oxidation
homoval[c],Homovanillate,225994,HMR_2776,"Transport, mitochondrial"
3mox4hpac[c],(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde,226413,HMR_0853,Glycosphingolipid metabolism
od2coa[m],(2E)-Octadecenoyl Coenzyme A,226518,HMR_3703,Cholesterol metabolism
CE2248[m],3-Hydroxyoctadecanoyl Coenzyme A,226646,PEPALM_HSPLA2,Glycerophospholipid metabolism
galgluside_hs[e],Galactosyl Glucosyl Ceramide,226999,HMR_2739,Fatty acid oxidation
gluside_hs[e],D-Glucosyl-N-Acylsphingosine,227095,HMR_3187,Fatty acid oxidation
cit[m],Citrate,227120,HMR_3630,Cholesterol metabolism
icit[m],Isocitric Acid,227197,N2M2NMASNtly,"Transport, lysosomal"
no[e],Nitric Oxide,227231,ACER11r,Sphingolipid metabolism
c226crn[m],Docosahexaenoylcarnitine,227327,CSNAT2x,Fatty acid oxidation
for[r],Formate,227333,RE0926E,Starch and sucrose metabolism
5thf[e],Pentaglutamyl Folate (Thf),227399,HMR_1129,Leukotriene metabolism
6thf[e],Hexaglutamyl Folate (Thf),227620,ST3GAL21g,Sphingolipid metabolism
core6[l],Core 6,227659,r2087,"Transport, extracellular"
Tn_antigen[l],Tn Antigen,227671,HMR_2669,Fatty acid oxidation
elaid[r],(9E)-Octadecenoic Acid,227721,FACOAL244_1,Fatty acid oxidation
M00127[r],9E-Octadecenoic Acid,227733,GALT,Galactose metabolism
cbasp[c],N-Carbamoyl-L-Aspartate,228033,CORE4GTg,O-glycan metabolism
M00702[m],3(S)-Hydroxy-13-Cis-Eicosenoyl Coenzyme A,228550,r1784,"Transport, extracellular"
M00843[m],3-Oxo-13-Cis-Eicosenoyl Coenzyme A,228677,SUCCCROT,Fatty acid oxidation
adrn[r],Adrenic Acid,229211,HCO3_CLt,"Transport, extracellular"
M01476[r],"Cholest-5-En-3Beta-Yl (7Z,10Z,13Z,16Z-Docosatetraenoate)",229363,DESAT18_9,Fatty acid synthesis
M00021[c],"13Z,16Z-Docosadienoic Acid",229665,HMR_3659,Cholesterol metabolism
M00023[c],"13Z,16Z-Docosadienoyl Coenzyme A",229709,HMR_3098,Fatty acid oxidation
odecrn[c],L-Oleoylcarnitine,229782,THYMDtl,"Transport, lysosomal"
ditp[e],Deoxyinosine-5-Triphosphate,229791,HMR_1968,Androgen and estrogen synthesis and metabolism
ppi[m],Diphosphate,229949,RE3226C,Fatty acid synthesis
CE5151[c],11Z-Eicosenoyl Coenzyme A,230075,PCHOLN1836_HSPLA2,Glycerophospholipid metabolism
CE2510[c],11-Cis-Eicosenoate,230099,r0817,"Transport, extracellular"
acnam[n],N-Acetylneuraminate,230101,HMR_9648,"Transport, extracellular"
cmpacna[n],Cytidine-5-Monophosphate-N-Acetyl-Beta-Neuraminate,230103,HMR_3658,Cholesterol metabolism
ctp[n],Cytidine-5-Triphosphate,230145,HMR_2861,"Transport, endoplasmic reticular"
ppi[n],Diphosphate,230163,HMR_2543,Fatty acid synthesis
ksii_core4_pre2[g],"Keratan Sulfate Ii Boisynthesis, Precursor 2",230379,RE3151C,Fatty acid oxidation
ksii_core4_pre1[g],"Keratan Sulfate Ii Biosynthesis, Precursor 1",230612,HMR_1746,Bile acid synthesis
3octdece1coa[c],3-Hydroxyoctadecenoyl Coenzyme A,230718,MDH,Citric acid cycle
3octdece1coa[m],3-Hydroxyoctadecenoyl Coenzyme A,230801,ASCBt4,"Transport, extracellular"
M00839[c],3-Oxo-11Cis-Docosenoyl Coenzyme A,231050,CRNtim,"Transport, mitochondrial"
M00699[c],3(S)-Hydroxy-11Cis-Docosenoyl Coenzyme A,231051,3HPVSTEThc,Drug metabolism
hs_pre14[g],"Heparan Sulfate, Precursor 14",231086,HMR_2284,Fatty acid synthesis
cdpea[c],Cytidine-5-Diphosphate-Ethanolamine,231327,HMR_3429,Fatty acid oxidation
ethamp[c],Ethanolamine Phosphate,231396,ADNt,"Transport, extracellular"
l2xser[g],(Gal)2-Xyl-L-Ser (Protein),231583,C30CPT1,Fatty acid oxidation
pacald[m],Phenylacetaldehyde,231605,HMR_6976,Lysine metabolism
pac[m],Phenylacetate,231691,DDPGAm,Arginine and proline metabolism
dpcoa[m],Dephospho Coenzyme A,231727,HMR_0835,Glycosphingolipid metabolism
acmana[e],N-Acetyl-D-Mannosamine,231871,MLTHFte2,"Transport, extracellular"
acmana[r],N-Acetyl-D-Mannosamine,232087,EX_phpyr_e,Exchange/demand reaction
2obut[c],2-Oxobutanoate,232156,UDPG3DOPA,Tyrosine metabolism
2obut[m],2-Oxobutanoate,232333,NCKt,"Transport, extracellular"
M01191[m],7Z-Hexadecenoyl Coenzyme A,232449,TMLYSOX,Lysine metabolism
M03019[m],"Trans,Cis-Hexadeca-2,7-Dienoyl Coenzyme A",232493,PEDH15_HSPLA2,Glycerophospholipid metabolism
C02712[c],N-Acetylmethionine,232714,HMR_2944,Fatty acid synthesis
C02712[e],N-Acetylmethionine,232811,RE3230C,Fatty acid synthesis
pheacgly[c],Phenylacetylglycine,232975,HMR_0593,Glycerophospholipid metabolism
pheacgly[e],Phenylacetylglycine,232984,r1179,Miscellaneous
crvs[e],cerivastatin,233011,HMR_1627,Bile acid synthesis
crvs[c],cerivastatin,233016,HMR_2942,Fatty acid synthesis
retn[e],All-Trans-Retinoate,233549,EX_urea_e,Exchange/demand reaction
retn[c],All-Trans-Retinoate,233781,LCAT27e,Cholesterol metabolism
fvscoa[x],fluvastatin-CoA form,233799,UDPGLCAtg,"Transport, golgi apparatus"
profvscoa[x],des-isoproylpropionic-acid-fluvastatin-CoA,233801,PCHOLN224_HSPLA2,Glycerophospholipid metabolism
M00606[m],"Cholest-5-En-3Beta,22R-Diol",233836,HMR_2681,Fatty acid oxidation
M00579[m],"Cholest-5-En-3Beta,20R,22R-Triol",233904,RE1521M,Fatty acid oxidation
cdpdag_hs[c],Cytidine-5-Diphosphate-Diacylglycerol,234129,HMR_3191,Fatty acid oxidation
pglyc_hs[c],Phosphatidylglycerol,234135,EX_10fthf_e,Exchange/demand reaction
clpn_hs[c],Cardiolipin,234309,C160CPT2,Fatty acid oxidation
cholcoar[x],"(25R)-3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",234356,EX_o2s_e,Exchange/demand reaction
amp[x],Adenosine Monophosphate,234515,HMR_6549,Inositol phosphate metabolism
atp[x],Adenosine Triphosphate,234724,BPNT,Nucleotide interconversion
thcholstoic[x],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoate",234779,PCHOLN225_HSPLA2,Glycerophospholipid metabolism
tmuncoa[x],"2,6,10-Trimethyl Undecanoyl Coenzyme A",234889,Htmi,"Transport, mitochondrial"
tmtrdcoa[x],"4,8,12-Trimethyl Tridecanoyl Coenzyme A",234967,G6PDH2er,Pentose phosphate pathway
citr__L[e],L-Citrulline,235033,HMR_2999,Fatty acid synthesis
ga2_hs[g],Gibberellin A2,235044,HMR_2376,Fatty acid synthesis
ga1_hs[g],Gibberellin A1,235293,ASNS1,Alanine and aspartate metabolism
docosac[c],Docosanoic Acid,235339,HMR_2683,"Transport, mitochondrial"
docosac[r],Docosanoic Acid,235504,G6PDH2r,Pentose phosphate pathway
4ppcys[c],N-((R)-4-Phosphopantothenoyl)-L-Cysteine,235534,PUNP3,Purine catabolism
lnlccrn[c],Linoleyl Carnitine,235582,CTPS1,Nucleotide interconversion
HC02056[c],"1,2-Diacylglycerol-Ld-Pc-Pool",235626,PIPLC,Inositol phosphate metabolism
1p3h5c[c],L-1-Pyrroline-3-Hydroxy-5-Carboxylate,235674,HMR_0843,Glycosphingolipid metabolism
